PLACES,RATINGS,TIME(HOURS),COST
Bhubaneswar Railway Station(Bhubaneswar),3.5,1.2,1
Lingaraj Temple(Bhubaneswar),4.5,3.1,0.5
Nandankanan Zoological Park(Bhubaneswar),4.4,4.5,250
Odisha State Museum(Bhubaneswar),4.1,2.2,30
Dhauli Shanti Stupa(Bhubaneswar),3.9,1.5,0.2
ISKCON Temple(Bhubaneswar),4.3,1.5,0.2
Rajarani Temple(Bhubaneswar),4.2,2.3,0.2
Mukteshwar Temple(Bhubaneswar),4.3,2.4,0.2
Ram mandir(Bhubaneswar),4.1,2.2,0.2
Regional Science Centre(Bhubaneswar),4.3,2.1,20
Khandagiri Caves(Bhubaneswar),4.2,1.5,0.5
Udayagiri caves(Bhubaneswar),4.1,1.5,0.5
Bindu Sarovar(Bhubaneswar),3.9,2.1,0.5
Museum of tribal arts&artifacts(Bhubaneswar),3.7,2.3,30
Chausathi Jogini Temple(Bhubaneswar),3.6,1.1,0.3
Cuttack Junction Railway Station(Cuttack),3.5,0.5,0.4
Cuttack Chandi Temple(Cuttack),4.3,3.4,0.1
Qadam-I-Rasool(Cuttack),3.7,2.5,35
Stone Revetment(Cuttack),3.6,2.5,5
Netaji Birth Place Museum(Cuttack),3.9,2.1,20
Dhabaleswar Island(Cuttack),3.8,1.2,10
Barabati Stadium(Cuttack),4.1,1.4,20
Mahanadi Barrage(Cuttack),3.6,1.6,10
Odisha Maritime Museum(Cuttack),3.7,2.1,20
Anantashayana Vishnu(Cuttack),3.5,2.9,5
Barabati Fort(Cuttack),4.2,2.5,10
Paradeep Beach(Cuttack),4.1,2.2,2
Simhanath Temple(Cuttack),3.9,1.6,2
Deer Park(Cuttack),3.9,1.7,10
kantilo(Cuttack),3.7,2.2,40
Howrah Junction Railway Station(Kolkata),4.4,1.1,10
Victoria Memorial(Kolkata),4.7,3.1,15
Howrah Bridge(Kolkata),4.4,3.2,80
Dakshineswar Kali Temple(Kolkata),4.1,2.1,5
Park Street(Kolkata),3.7,1.8,9
Mother House(Kolkata),3.8,1.9,10
Eden Garden(Kolkata),3.9,1.8,10
College Street(Kolkata),3.8,1.7,2
Eco Tourism Park(Kolkata),4.1,2.2,25
Birla Temple(Kolkata),4.1,2.3,20
Prinsep Ghat(Kolkata),4.3,2.4,10
Science City(Kolkata),4.5,3.2,20
New Market(Kolkata),4.4,3.1,5
Quest Mall(Kolkata),4.5,2.3,0.5
Parashnath Jain Temple(Kolkata),4.1,2.1,10
Visakhapatnam Railway Station(Visakhapatnam),4.2,1.5,1
RK Beach (Ramakrishna Beach)(Visakhapatnam),4.5,2.5,5
INS Kursura Submarine Museum(Visakhapatnam),3.9,2.5,80
Borra Caves(Visakhapatnam),4.5,3.5,50
Araku Valley(Visakhapatnam),4.8,5.5,300
Varaha Lakshmi Narasimha Temple(Visakhapatnam),4.1,1.5,5
Biodiversity Park(Visakhapatnam),4.1,2.1,5
Kailasagiri(Visakhapatnam),4.3,2.1,15
Rushikonda Beach(Visakhapatnam),3.8,2.2,25
Yarada Beach(Visakhapatnam),3.7,2.3,25
Ramakrishna Beach(Visakhapatnam),4.3,3.2,30
Dolphin's Nose(Visakhapatnam),4.4,2.5,200
Indira Gandhi Zoological Park(Visakhapatnam),4.3,2.7,100
Submarine Museum(Visakhapatnam),4.5,3.4,60
Katiki Waterfalls(Visakhapatnam),4.7,3.2,150
