Source,Destination,Time(hrs),Cost(Rs)
Bhubaneswar Railway Station(Bhubaneswar),Lingaraj Temple(Bhubaneswar),0.25,55
Bhubaneswar Railway Station(Bhubaneswar),Nandankanan Zoological Park(Bhubaneswar),0.5,200
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),0.1,30
Bhubaneswar Railway Station(Bhubaneswar),Dhauli Shanti Stupa(Bhubaneswar),0.35,140
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.2,130
Bhubaneswar Railway Station(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.15,70
Bhubaneswar Railway Station(Bhubaneswar),Mukteshwar Temple(Bhubaneswar),0.18,75
Bhubaneswar Railway Station(Bhubaneswar),Ram mandir(Bhubaneswar),0.08,85
Bhubaneswar Railway Station(Bhubaneswar),Regional Science Centre(Bhubaneswar),0.66,220
Bhubaneswar Railway Station(Bhubaneswar),Khandagiri Caves(Bhubaneswar),0.11,55
Bhubaneswar Railway Station(Bhubaneswar),Udayagiri caves(Bhubaneswar),0.26,100
Bhubaneswar Railway Station(Bhubaneswar),Bindu Sarovar(Bhubaneswar),0.33,140
Bhubaneswar Railway Station(Bhubaneswar),Museum of tribal arts&artifacts(Bhubaneswar),0.11,55
Bhubaneswar Railway Station(Bhubaneswar),Chausathi Jogini Temple(Bhubaneswar),0.1,50
Lingaraj Temple(Bhubaneswar),Nandankanan Zoological Park(Bhubaneswar),0.21,150
Lingaraj Temple(Bhubaneswar),Odisha State Museum(Bhubaneswar),0.58,220
Lingaraj Temple(Bhubaneswar),Dhauli Shanti Stupa(Bhubaneswar),0.8,290
Lingaraj Temple(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.36,150
Lingaraj Temple(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.46,200
Lingaraj Temple(Bhubaneswar),Mukteshwar Temple(Bhubaneswar),0.5,210
Lingaraj Temple(Bhubaneswar),Ram mandir(Bhubaneswar),0.36,190
Lingaraj Temple(Bhubaneswar),Regional Science Centre(Bhubaneswar),0.3,185
Lingaraj Temple(Bhubaneswar),Khandagiri Caves(Bhubaneswar),0.25,100
Lingaraj Temple(Bhubaneswar),Udayagiri caves(Bhubaneswar),0.08,50
Lingaraj Temple(Bhubaneswar),Bindu Sarovar(Bhubaneswar),0.11,55
Lingaraj Temple(Bhubaneswar),Museum of tribal arts&artifacts(Bhubaneswar),0.13,70
Lingaraj Temple(Bhubaneswar),Chausathi Jogini Temple(Bhubaneswar),0.3,100
Nandankanan Zoological Park(Bhubaneswar),Odisha State Museum(Bhubaneswar),0.28,103
Nandankanan Zoological Park(Bhubaneswar),Dhauli Shanti Stupa(Bhubaneswar),0.25,95
Nandankanan Zoological Park(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.38,150
Nandankanan Zoological Park(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.16,55
Nandankanan Zoological Park(Bhubaneswar),Mukteshwar Temple(Bhubaneswar),0.35,190
Nandankanan Zoological Park(Bhubaneswar),Ram mandir(Bhubaneswar),0.2,150
Nandankanan Zoological Park(Bhubaneswar),Regional Science Centre(Bhubaneswar),0.13,0.1
Nandankanan Zoological Park(Bhubaneswar),Khandagiri Caves(Bhubaneswar),0.18,60
Nandankanan Zoological Park(Bhubaneswar),Udayagiri caves(Bhubaneswar),0.16,60
Nandankanan Zoological Park(Bhubaneswar),Bindu Sarovar(Bhubaneswar),0.25,30
Nandankanan Zoological Park(Bhubaneswar),Museum of tribal arts&artifacts(Bhubaneswar),0.5,140
Nandankanan Zoological Park(Bhubaneswar),Chausathi Jogini Temple(Bhubaneswar),0.1,130
Odisha State Museum(Bhubaneswar),Dhauli Shanti Stupa(Bhubaneswar),0.35,70
Odisha State Museum(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.2,75
Odisha State Museum(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.15,85
Odisha State Museum(Bhubaneswar),Mukteshwar Temple(Bhubaneswar),0.18,220
Odisha State Museum(Bhubaneswar),Ram mandir(Bhubaneswar),0.08,55
Odisha State Museum(Bhubaneswar),Regional Science Centre(Bhubaneswar),0.66,100
Odisha State Museum(Bhubaneswar),Khandagiri Caves(Bhubaneswar),0.11,140
Odisha State Museum(Bhubaneswar),Udayagiri caves(Bhubaneswar),0.26,55
Odisha State Museum(Bhubaneswar),Bindu Sarovar(Bhubaneswar),0.33,50
Odisha State Museum(Bhubaneswar),Museum of tribal arts&artifacts(Bhubaneswar),0.11,150
Odisha State Museum(Bhubaneswar),Chausathi Jogini Temple(Bhubaneswar),0.1,220
Dhauli Shanti Stupa(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.21,290
Dhauli Shanti Stupa(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.58,150
Dhauli Shanti Stupa(Bhubaneswar),Mukteshwar Temple(Bhubaneswar),0.8,200
Dhauli Shanti Stupa(Bhubaneswar),Ram mandir(Bhubaneswar),0.36,210
Dhauli Shanti Stupa(Bhubaneswar),Regional Science Centre(Bhubaneswar),0.46,190
Dhauli Shanti Stupa(Bhubaneswar),Khandagiri Caves(Bhubaneswar),0.5,185
Dhauli Shanti Stupa(Bhubaneswar),Udayagiri caves(Bhubaneswar),0.36,100
Dhauli Shanti Stupa(Bhubaneswar),Bindu Sarovar(Bhubaneswar),0.3,50
