PLACES,RATINGS,TIME(HOURS),COST
Bhubaneswar Railway Station(Bhubaneswar),3.5,1.2,2
Lingaraj Temple(Bhubaneswar),4.5,3.1,2
Nandankanan Zoological Park(Bhubaneswar),4.4,4.5,252
Odisha State Museum(Bhubaneswar),4.1,2.2,32
Dhauli Shanti Stupa(Bhubaneswar),3.9,1.5,2
ISKCON Temple(Bhubaneswar),4.3,1.5,2
Rajarani Temple(Bhubaneswar),4.2,2.3,2
Mukteswara Temple(Bhubaneswar),4.3,2.4,2
Ram mandir(Bhubaneswar),4.1,2.2,2
Cuttack Junction Railway Station(Cuttack),3.5,2.5,2
Cuttack Chandi Temple(Cuttack),4.3,3.4,2
Qadam-I-Rasool(Cuttack),3.7,2.5,35
Stone Revetment(Cuttack),3.6,2.5,2
Howrah Junction Railway Station(Kolkata),4.2,1.5,2
Victoria Memorial(Kolkata),4.5,3.5,82
Howrah Bridge(Kolkata),4.2,1.5,2
Dakshineswar Kali Temple(Kolkata),4.3,3.5,2
Park Street(Kolkata),3.8,2.5,2
Visakhapatnam Railway Station(Visakhapatnam),4.2,1.5,2
Ramakrishna Beach(Visakhapatnam),4.5,2.5,2
INS Kursurs Submarine Museum(Visakhapatnam),3.9,2.5,82
Borra Caves(Visakhapatnam),4.5,3.5,52
Araku Valley(Visakhapatnam),4.8,5.5,322
